# Region type : faceZone InSurface
# Faces  :    590
# Area   :    6.238624e+01
# Time        	areaAverage(surfaceInterpolate(mag(U)))
200           	7.915620e-01
200.2         	7.915620e-01
200.4         	7.915620e-01
200.6         	7.915620e-01
200.8         	7.915620e-01
201           	7.915406e-01
201.2         	7.915406e-01
201.4         	7.915406e-01
201.6         	7.915406e-01
201.8         	7.915406e-01
202           	7.915229e-01
202.2         	7.915229e-01
202.4         	7.915229e-01
202.6         	7.915229e-01
202.8         	7.915229e-01
203           	7.915059e-01
203.2         	7.915059e-01
203.4         	7.915059e-01
203.6         	7.915059e-01
203.8         	7.915059e-01
204           	7.914840e-01
204.2         	7.914840e-01
204.4         	7.914840e-01
204.6         	7.914840e-01
204.8         	7.914840e-01
205           	7.914502e-01
205.2         	7.914502e-01
205.4         	7.914502e-01
205.6         	7.914502e-01
205.8         	7.914502e-01
206           	7.914002e-01
206.2         	7.914002e-01
206.4         	7.914002e-01
206.6         	7.914002e-01
206.8         	7.914002e-01
207           	7.913333e-01
207.2         	7.913333e-01
207.4         	7.913333e-01
207.6         	7.913333e-01
207.8         	7.913333e-01
208           	7.912549e-01
208.2         	7.912549e-01
208.4         	7.912549e-01
208.6         	7.912549e-01
208.8         	7.912549e-01
209           	7.911756e-01
209.2         	7.911756e-01
209.4         	7.911756e-01
209.6         	7.911756e-01
209.8         	7.911756e-01
210           	7.911063e-01
210.2         	7.911063e-01
210.4         	7.911063e-01
210.6         	7.911063e-01
210.8         	7.911063e-01
211           	7.910510e-01
211.2         	7.910510e-01
211.4         	7.910510e-01
211.6         	7.910510e-01
211.8         	7.910510e-01
212           	7.910034e-01
212.2         	7.910034e-01
212.4         	7.910034e-01
212.6         	7.910034e-01
212.8         	7.910034e-01
213           	7.909525e-01
213.2         	7.909525e-01
213.4         	7.909525e-01
213.6         	7.909525e-01
213.8         	7.909525e-01
214           	7.908912e-01
214.2         	7.908912e-01
214.4         	7.908912e-01
214.6         	7.908912e-01
214.8         	7.908912e-01
215           	7.908193e-01
215.2         	7.908193e-01
215.4         	7.908193e-01
215.6         	7.908193e-01
215.8         	7.908193e-01
216           	7.907438e-01
216.2         	7.907438e-01
216.4         	7.907438e-01
216.6         	7.907438e-01
216.8         	7.907438e-01
217           	7.906744e-01
217.2         	7.906744e-01
217.4         	7.906744e-01
217.6         	7.906744e-01
217.8         	7.906744e-01
218           	7.906192e-01
218.2         	7.906192e-01
218.4         	7.906192e-01
218.6         	7.906192e-01
218.8         	7.906192e-01
219           	7.905806e-01
219.2         	7.905806e-01
219.4         	7.905806e-01
219.6         	7.905806e-01
219.8         	7.905806e-01
220           	7.905540e-01
220.2         	7.905540e-01
220.4         	7.905540e-01
220.6         	7.905540e-01
220.8         	7.905540e-01
221           	7.905290e-01
221.2         	7.905290e-01
221.4         	7.905290e-01
221.6         	7.905290e-01
221.8         	7.905290e-01
222           	7.904952e-01
222.2         	7.904952e-01
222.4         	7.904952e-01
222.6         	7.904952e-01
222.8         	7.904952e-01
223           	7.904459e-01
223.2         	7.904459e-01
223.4         	7.904459e-01
223.6         	7.904459e-01
223.8         	7.904459e-01
224           	7.903829e-01
224.2         	7.903829e-01
224.4         	7.903829e-01
224.6         	7.903829e-01
224.8         	7.903829e-01
225           	7.903133e-01
225.2         	7.903133e-01
225.4         	7.903133e-01
225.6         	7.903133e-01
225.8         	7.903133e-01
226           	7.902445e-01
226.2         	7.902445e-01
226.4         	7.902445e-01
226.6         	7.902445e-01
226.8         	7.902445e-01
227           	7.901810e-01
227.2         	7.901810e-01
227.4         	7.901810e-01
227.6         	7.901810e-01
227.8         	7.901810e-01
228           	7.901252e-01
228.2         	7.901252e-01
228.4         	7.901252e-01
228.6         	7.901252e-01
228.8         	7.901252e-01
229           	7.900780e-01
229.2         	7.900780e-01
229.4         	7.900780e-01
229.6         	7.900780e-01
229.8         	7.900780e-01
230           	7.900394e-01
230.2         	7.900394e-01
230.4         	7.900394e-01
230.6         	7.900394e-01
230.8         	7.900394e-01
231           	7.900070e-01
231.2         	7.900070e-01
231.4         	7.900070e-01
231.6         	7.900070e-01
231.8         	7.900070e-01
232           	7.899758e-01
232.2         	7.899758e-01
232.4         	7.899758e-01
232.6         	7.899758e-01
232.8         	7.899758e-01
233           	7.899385e-01
233.2         	7.899385e-01
233.4         	7.899385e-01
233.6         	7.899385e-01
233.8         	7.899385e-01
234           	7.898898e-01
234.2         	7.898898e-01
234.4         	7.898898e-01
234.6         	7.898898e-01
234.8         	7.898898e-01
235           	7.898287e-01
235.2         	7.898287e-01
235.4         	7.898287e-01
235.6         	7.898287e-01
235.8         	7.898287e-01
236           	7.897586e-01
236.2         	7.897586e-01
236.4         	7.897586e-01
236.6         	7.897586e-01
236.8         	7.897586e-01
237           	7.896854e-01
237.2         	7.896854e-01
237.4         	7.896854e-01
237.6         	7.896854e-01
237.8         	7.896854e-01
238           	7.896147e-01
238.2         	7.896147e-01
238.4         	7.896147e-01
238.6         	7.896147e-01
238.8         	7.896147e-01
239           	7.895496e-01
239.2         	7.895496e-01
239.4         	7.895496e-01
239.6         	7.895496e-01
239.8         	7.895496e-01
240           	7.894920e-01
240.2         	7.894920e-01
240.4         	7.894920e-01
240.6         	7.894920e-01
240.8         	7.894920e-01
241           	7.894418e-01
241.2         	7.894418e-01
241.4         	7.894418e-01
241.6         	7.894418e-01
241.8         	7.894418e-01
242           	7.893981e-01
242.2         	7.893981e-01
242.4         	7.893981e-01
242.6         	7.893981e-01
242.8         	7.893981e-01
243           	7.893592e-01
243.2         	7.893592e-01
243.4         	7.893592e-01
243.6         	7.893592e-01
243.8         	7.893592e-01
244           	7.893218e-01
244.2         	7.893218e-01
244.4         	7.893218e-01
244.6         	7.893218e-01
244.8         	7.893218e-01
245           	7.892814e-01
245.2         	7.892814e-01
245.4         	7.892814e-01
245.6         	7.892814e-01
245.8         	7.892814e-01
246           	7.892332e-01
246.2         	7.892332e-01
246.4         	7.892332e-01
246.6         	7.892332e-01
246.8         	7.892332e-01
247           	7.891761e-01
247.2         	7.891761e-01
247.4         	7.891761e-01
247.6         	7.891761e-01
247.8         	7.891761e-01
248           	7.891106e-01
248.2         	7.891106e-01
248.4         	7.891106e-01
248.6         	7.891106e-01
248.8         	7.891106e-01
249           	7.890395e-01
