#      distance     vorticity_x     vorticity_y     vorticity_z
      1.0050251   -5.363875e-05  -3.1088892e-05  -3.3703737e-05
      2.0100503  -5.4599547e-05  -7.5605011e-06  -6.3693799e-06
      3.0150754  -5.8223846e-05   5.3671339e-06   6.1755053e-06
      4.0201005  -7.2558653e-05   1.2980529e-05    4.557353e-05
      5.0251256   0.00024749841  -2.0072308e-05   5.3239638e-05
      6.0301508    0.0002570725  -3.3562245e-05   9.9599399e-06
      7.0351759   2.4725552e-05  -3.4309076e-05  -5.4173173e-06
       8.040201  -0.00017637371  -1.9578659e-05  -8.1263663e-05
      9.0452261  -0.00025080798   -4.892449e-06  -0.00011751743
      10.050251  -6.9107891e-05   2.6748144e-05  -6.7903817e-05
      11.055276   7.0959889e-05   2.8397356e-05   2.3103782e-06
      12.060302   0.00030739301   1.7162959e-05   8.4289068e-05
      13.065327   0.00019906849  -6.6560781e-07   6.0612932e-05
      14.070352   9.5117032e-05   1.0521153e-05   7.0769616e-06
      15.075377    0.0001798839   3.1434008e-05  -5.1449012e-05
      16.080402   0.00010361833   6.4896055e-05  -0.00010027003
      17.085427   0.00044214972   6.6683122e-05  -0.00014231277
      18.090452   0.00013282801  -1.6974044e-05   2.2067478e-05
      19.095477   5.6684124e-05  -7.1733595e-05   0.00010150916
      20.100503   6.6288499e-05  -5.8533284e-05   0.00014642259
      21.105528   0.00035685855   1.8307314e-05   5.5720995e-05
      22.110553   0.00061881162   5.3782806e-05   -1.734157e-05
      23.115578   0.00061406137   7.4441767e-05  -6.9374525e-05
      24.120603   0.00076860957    9.743547e-05  -0.00014285039
      25.125628   0.00036570632   6.3803441e-05  -0.00012038421
      26.130653  -0.00024774652   4.7847985e-06  -2.9493084e-05
      27.135678  -0.00050005351  -3.6705407e-05   8.6497999e-05
      28.140704  -0.00070578226  -3.4819246e-05   5.4684543e-05
      29.145729    -0.000375526  -2.2437039e-05   3.0332612e-05
      30.150754  -0.00045300665   8.7554528e-06   9.7390042e-05
      31.155779   -0.0003370808   5.1818038e-06   0.00013653534
      32.160804  -0.00043706564  -7.1839381e-05  -7.2902921e-05
      33.165829  -0.00039497815   -7.101491e-05   -0.0001367096
      34.170854  -0.00030169127  -4.5794642e-05  -8.6279263e-05
      35.175879  -0.00040880142   4.6414978e-05   0.00013903688
      36.180905  -0.00064958247   2.9324293e-05   0.00018234402
       37.18593  -0.00096359756  -7.8238129e-07    5.774681e-05
      38.190955   -0.0018504191  -0.00011030902  -0.00026625341
       39.19598   -0.0023438122  -0.00011704358  -0.00035135335
      40.201005   -0.0018702287  -5.3270739e-05  -0.00037096252
       41.20603   -0.0021994088  -1.7439329e-05  -0.00033158268
      42.211055   -0.0010857958  -3.0856914e-06  -0.00020299395
       43.21608   0.00042394606   -3.996145e-05   -7.023956e-05
      44.221106    0.0011951075  -0.00015423128   0.00043448855
      45.226131    0.0017381849  -0.00015300299   0.00051376253
      46.231156    0.0021914244  -4.9407588e-05   0.00030488571
      47.236181      0.00286662   0.00016588162  -0.00034452572
      48.241206    0.0027509482   0.00024268715  -0.00072172176
      49.246231    0.0021965722   0.00027126052  -0.00081198962
      50.251256   0.00058353257   8.6109529e-05  -0.00022609303
      51.256281  -0.00020537171   6.1973103e-05   0.00032695191
      52.261307    0.0012080393   3.1038556e-05   0.00068615487
      53.266332    0.0015188687   8.3685087e-05    0.0004436079
      54.271357   0.00018096558   0.00031831394     0.000335036
      55.276382    -0.001433688   0.00045652962   0.00045996343
      56.281407   -0.0019622389   0.00043125825   0.00023325161
      57.286432   -0.0051529792   0.00043970831  -0.00036778585
      58.291457   -0.0044846097     0.000272827  -0.00033313184
      59.296482   -0.0039571121  -0.00039648636  -0.00019723766
      60.301508   -0.0039516148  -0.00034612111  -0.00090730042
      61.306533    -0.003866688  -0.00016472475  -0.00090216328
      62.311558   -0.0022689905   0.00051624763  -0.00060842657
      63.316583   -0.0053393059    0.0007592163   -0.0008827876
      64.321608   -0.0028879793   0.00048783007   0.00088444554
      65.326633   -0.0041145007    0.0003747833    0.0006205734
      66.331658   -0.0035332311   0.00030868687   -0.0009075076
      67.336683   -0.0077058325   0.00072029475   0.00012591543
      68.341709    -0.011314694   0.00062562324    0.0027867542
      69.346734   -0.0015372306  -0.00012791227    0.0025354322
      70.351759  -0.00015921297  -0.00085531052   0.00023069236
      71.356784   -0.0029159668   -0.0011854287   -0.0031055851
      72.361809   -0.0058253284   -0.0004926113   -0.0020673248
      73.366834   -0.0066640156  -0.00024390987   -0.0052036865
      74.371859   -0.0083180945   0.00081652707   -0.0015412285
      75.376884   -0.0044200934  -0.00017129936   0.00048772666
       76.38191   -0.0024072496   -0.0013994383    0.0016971202
      77.386935   -0.0054214206  -0.00056639201  -0.00074900531
       78.39196   -0.0087541991   -0.0025638822  -0.00029483425
      79.396985   -0.0095849292   -0.0039470941   -0.0013582521
       80.40201    -0.013902194   -0.0024992815   -0.0044440534
