# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 3.14000000e+00
# Aref          : 3.14000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
50.11           	9.70593699e-05	1.07098919e+00	-5.08718795e-01	-2.54262338e-01	-2.54456457e-01
50.112          	9.61152331e-05	1.07100543e+00	-5.09598111e-01	-2.54702940e-01	-2.54895171e-01
50.114          	9.48859511e-05	1.07094516e+00	-5.10386180e-01	-2.55098204e-01	-2.55287976e-01
50.116          	9.35674639e-05	1.07099874e+00	-5.10846013e-01	-2.55329439e-01	-2.55516574e-01
50.118          	9.29303662e-05	1.07126782e+00	-5.11712997e-01	-2.55763568e-01	-2.55949429e-01
50.12           	9.27380779e-05	1.07139338e+00	-5.12326359e-01	-2.56070441e-01	-2.56255917e-01
50.122          	9.31396349e-05	1.07169437e+00	-5.12970522e-01	-2.56392121e-01	-2.56578400e-01
50.124          	9.40151037e-05	1.07155649e+00	-5.13737517e-01	-2.56774743e-01	-2.56962773e-01
50.126          	9.54231472e-05	1.07167702e+00	-5.14401128e-01	-2.57105141e-01	-2.57295987e-01
50.128          	9.67651522e-05	1.07154999e+00	-5.15106363e-01	-2.57456417e-01	-2.57649947e-01
50.13           	9.76652701e-05	1.07160789e+00	-5.15797354e-01	-2.57801012e-01	-2.57996342e-01
50.132          	9.79686978e-05	1.07178636e+00	-5.16572245e-01	-2.58188154e-01	-2.58384091e-01
50.134          	9.80240026e-05	1.07159033e+00	-5.17666093e-01	-2.58735023e-01	-2.58931071e-01
50.136          	9.80337152e-05	1.07164563e+00	-5.18640722e-01	-2.59222327e-01	-2.59418395e-01
50.138          	9.82481511e-05	1.07180309e+00	-5.19289236e-01	-2.59546370e-01	-2.59742866e-01
50.14           	9.83336810e-05	1.07215448e+00	-5.19870068e-01	-2.59836700e-01	-2.60033367e-01
50.142          	9.84499248e-05	1.07241247e+00	-5.20526895e-01	-2.60164998e-01	-2.60361897e-01
50.144          	9.83307716e-05	1.07247303e+00	-5.21244208e-01	-2.60523773e-01	-2.60720435e-01
50.146          	9.81567711e-05	1.07214581e+00	-5.21725442e-01	-2.60764564e-01	-2.60960878e-01
50.148          	9.84415107e-05	1.07224579e+00	-5.22294917e-01	-2.61049017e-01	-2.61245900e-01
50.15           	9.85742506e-05	1.07224243e+00	-5.22795620e-01	-2.61299236e-01	-2.61496384e-01
50.152          	9.84514016e-05	1.07226728e+00	-5.23662844e-01	-2.61732971e-01	-2.61929873e-01
50.154          	9.83411377e-05	1.07279594e+00	-5.24473336e-01	-2.62138327e-01	-2.62335009e-01
50.156          	9.82761249e-05	1.07321525e+00	-5.25350480e-01	-2.62576964e-01	-2.62773516e-01
50.158          	9.81495142e-05	1.07333252e+00	-5.25991822e-01	-2.62897762e-01	-2.63094061e-01
50.16           	9.81035267e-05	1.07327750e+00	-5.26675349e-01	-2.63239571e-01	-2.63435778e-01
50.162          	9.77940990e-05	1.07363742e+00	-5.27347624e-01	-2.63576018e-01	-2.63771606e-01
50.164          	9.75297958e-05	1.07367489e+00	-5.27955212e-01	-2.63880076e-01	-2.64075136e-01
50.166          	9.76360417e-05	1.07390512e+00	-5.28739361e-01	-2.64272044e-01	-2.64467317e-01
50.168          	9.73021722e-05	1.07428746e+00	-5.29737358e-01	-2.64771377e-01	-2.64965981e-01
50.17           	9.69760871e-05	1.07431027e+00	-5.30610156e-01	-2.65208102e-01	-2.65402054e-01
50.172          	9.66545467e-05	1.07441325e+00	-5.31415629e-01	-2.65611160e-01	-2.65804469e-01
50.174          	9.63967765e-05	1.07429840e+00	-5.32169262e-01	-2.65988234e-01	-2.66181028e-01
50.176          	9.61579023e-05	1.07428371e+00	-5.32813596e-01	-2.66310640e-01	-2.66502956e-01
50.178          	9.57787109e-05	1.07444240e+00	-5.33573284e-01	-2.66690863e-01	-2.66882420e-01
50.18           	9.56589400e-05	1.07452755e+00	-5.34506950e-01	-2.67157816e-01	-2.67349134e-01
50.182          	9.53570912e-05	1.07477127e+00	-5.35391226e-01	-2.67600256e-01	-2.67790970e-01
50.184          	9.49515545e-05	1.07512553e+00	-5.36387179e-01	-2.68098638e-01	-2.68288541e-01
50.186          	9.48426564e-05	1.07504484e+00	-5.37325159e-01	-2.68567737e-01	-2.68757422e-01
50.188          	9.52315429e-05	1.07478286e+00	-5.38071975e-01	-2.68940756e-01	-2.69131219e-01
50.19           	9.52632219e-05	1.07476051e+00	-5.38892763e-01	-2.69351118e-01	-2.69541645e-01
50.192          	9.52323974e-05	1.07494777e+00	-5.39718688e-01	-2.69764112e-01	-2.69954577e-01
50.194          	9.53457355e-05	1.07495692e+00	-5.40519638e-01	-2.70164473e-01	-2.70355165e-01
50.196          	9.48588795e-05	1.07540521e+00	-5.41213172e-01	-2.70511727e-01	-2.70701445e-01
50.198          	9.43824192e-05	1.07580001e+00	-5.41711723e-01	-2.70761479e-01	-2.70950244e-01
50.2            	9.38966061e-05	1.07588991e+00	-5.42136621e-01	-2.70974414e-01	-2.71162207e-01
50.202          	9.35262905e-05	1.07582405e+00	-5.42838778e-01	-2.71325863e-01	-2.71512915e-01
50.204          	9.32920258e-05	1.07562659e+00	-5.43584021e-01	-2.71698719e-01	-2.71885303e-01
50.206          	9.33888303e-05	1.07545133e+00	-5.44274553e-01	-2.72043888e-01	-2.72230665e-01
50.208          	9.36593241e-05	1.07545570e+00	-5.44946647e-01	-2.72379664e-01	-2.72566983e-01
50.21           	9.39386777e-05	1.07545741e+00	-5.45560879e-01	-2.72686501e-01	-2.72874378e-01
50.212          	9.40646832e-05	1.07564815e+00	-5.46498292e-01	-2.73155081e-01	-2.73343211e-01
50.214          	9.41537238e-05	1.07585995e+00	-5.46768713e-01	-2.73290203e-01	-2.73478510e-01
50.216          	9.42495677e-05	1.07610368e+00	-5.47549484e-01	-2.73680492e-01	-2.73868991e-01
50.218          	9.41563913e-05	1.07605817e+00	-5.48252553e-01	-2.74032120e-01	-2.74220433e-01
50.22           	9.43710035e-05	1.07577315e+00	-5.49156934e-01	-2.74484096e-01	-2.74672838e-01
50.222          	9.44851947e-05	1.07586377e+00	-5.49574783e-01	-2.74692906e-01	-2.74881876e-01
50.224          	9.45550782e-05	1.07617868e+00	-5.50013777e-01	-2.74912333e-01	-2.75101443e-01
50.226          	9.47700595e-05	1.07592026e+00	-5.50565555e-01	-2.75188007e-01	-2.75377547e-01
50.228          	9.55499535e-05	1.07582122e+00	-5.51026763e-01	-2.75417832e-01	-2.75608932e-01
50.23           	9.65842635e-05	1.07580497e+00	-5.51562896e-01	-2.75684864e-01	-2.75878032e-01
50.232          	9.76199840e-05	1.07605441e+00	-5.51814695e-01	-2.75809727e-01	-2.76004967e-01
50.234          	9.79644059e-05	1.07594686e+00	-5.52367672e-01	-2.76085872e-01	-2.76281800e-01
50.236          	9.82417478e-05	1.07615199e+00	-5.52847070e-01	-2.76325293e-01	-2.76521777e-01
50.238          	9.86336346e-05	1.07597803e+00	-5.53662716e-01	-2.76732724e-01	-2.76929992e-01
50.24           	9.90210030e-05	1.07618561e+00	-5.54248807e-01	-2.77025383e-01	-2.77223425e-01
50.242          	9.96720529e-05	1.07638221e+00	-5.55059158e-01	-2.77429907e-01	-2.77629251e-01
50.244          	1.00359326e-04	1.07629433e+00	-5.55704021e-01	-2.77751651e-01	-2.77952370e-01
50.246          	1.01323739e-04	1.07634183e+00	-5.56266301e-01	-2.78031827e-01	-2.78234474e-01
50.248          	1.02086877e-04	1.07644135e+00	-5.56663371e-01	-2.78229599e-01	-2.78433772e-01
50.25           	1.02924493e-04	1.07636551e+00	-5.57466077e-01	-2.78630114e-01	-2.78835963e-01
50.252          	1.03965604e-04	1.07652531e+00	-5.58059257e-01	-2.78925663e-01	-2.79133594e-01
50.254          	1.04951341e-04	1.07668240e+00	-5.58533921e-01	-2.79162009e-01	-2.79371912e-01
50.256          	1.05690684e-04	1.07656389e+00	-5.59052630e-01	-2.79420624e-01	-2.79632006e-01
50.258          	1.06582563e-04	1.07628334e+00	-5.59766572e-01	-2.79776704e-01	-2.79989869e-01
50.26           	1.07512349e-04	1.07603322e+00	-5.60445717e-01	-2.80115346e-01	-2.80330371e-01
50.262          	1.08756401e-04	1.07562865e+00	-5.61087442e-01	-2.80434965e-01	-2.80652478e-01
50.264          	1.09695272e-04	1.07591529e+00	-5.61574302e-01	-2.80677456e-01	-2.80896846e-01
50.266          	1.10185742e-04	1.07597292e+00	-5.62112406e-01	-2.80946017e-01	-2.81166389e-01
50.268          	1.10562351e-04	1.07565292e+00	-5.62724620e-01	-2.81251748e-01	-2.81472872e-01
50.27           	1.11092531e-04	1.07542180e+00	-5.63155435e-01	-2.81466625e-01	-2.81688810e-01
50.272          	1.11604742e-04	1.07571249e+00	-5.63760451e-01	-2.81768621e-01	-2.81991830e-01
50.274          	1.11903614e-04	1.07583241e+00	-5.64495329e-01	-2.82135761e-01	-2.82359568e-01
50.276          	1.12305508e-04	1.07582549e+00	-5.64876929e-01	-2.82326159e-01	-2.82550770e-01
50.278          	1.12512476e-04	1.07584420e+00	-5.65370255e-01	-2.82572615e-01	-2.82797640e-01
50.28           	1.12409086e-04	1.07575710e+00	-5.65917458e-01	-2.82846320e-01	-2.83071138e-01
50.282          	1.12362067e-04	1.07534762e+00	-5.66690125e-01	-2.83232700e-01	-2.83457424e-01
50.284          	1.12449068e-04	1.07517814e+00	-5.67094772e-01	-2.83434937e-01	-2.83659835e-01
50.286          	1.12688009e-04	1.07514423e+00	-5.67705026e-01	-2.83739825e-01	-2.83965201e-01
50.288          	1.12967262e-04	1.07502674e+00	-5.68240749e-01	-2.84007407e-01	-2.84233342e-01
50.29           	1.12759211e-04	1.07536075e+00	-5.68768017e-01	-2.84271249e-01	-2.84496767e-01
50.292          	1.12201255e-04	1.07536355e+00	-5.69722040e-01	-2.84748819e-01	-2.84973221e-01
50.294          	1.11486393e-04	1.07551703e+00	-5.70401788e-01	-2.85089407e-01	-2.85312380e-01
50.296          	1.11201413e-04	1.07547568e+00	-5.70995298e-01	-2.85386448e-01	-2.85608851e-01
50.298          	1.11571332e-04	1.07548085e+00	-5.71499021e-01	-2.85637939e-01	-2.85861082e-01
50.3            	1.11742886e-04	1.07545106e+00	-5.71958152e-01	-2.85867333e-01	-2.86090819e-01
50.302          	1.11791274e-04	1.07544790e+00	-5.72447780e-01	-2.86112099e-01	-2.86335681e-01
50.304          	1.12045258e-04	1.07563157e+00	-5.72712298e-01	-2.86244104e-01	-2.86468194e-01
50.306          	1.12514924e-04	1.07564217e+00	-5.72768369e-01	-2.86271669e-01	-2.86496699e-01
50.308          	1.13038789e-04	1.07615492e+00	-5.73021325e-01	-2.86397624e-01	-2.86623701e-01
50.31           	1.13616021e-04	1.07611217e+00	-5.73826636e-01	-2.86799702e-01	-2.87026934e-01
50.312          	1.13702786e-04	1.07606292e+00	-5.74637789e-01	-2.87205192e-01	-2.87432597e-01
50.314          	1.13869348e-04	1.07569489e+00	-5.75084638e-01	-2.87428450e-01	-2.87656188e-01
50.316          	1.14353441e-04	1.07547574e+00	-5.75630543e-01	-2.87700918e-01	-2.87929625e-01
50.318          	1.15424389e-04	1.07563792e+00	-5.76359704e-01	-2.88064428e-01	-2.88295277e-01
50.32           	1.16533997e-04	1.07597016e+00	-5.76630787e-01	-2.88198860e-01	-2.88431928e-01
