# Region type : faceZone InSurface
# Faces  :    590
# Area   :    6.238624e+01
# Time        	areaAverage(surfaceInterpolate(mag(U)))
477           	7.701227e-01
477.2         	7.701227e-01
477.4         	7.701227e-01
477.6         	7.701227e-01
477.8         	7.701227e-01
478           	7.699761e-01
478.2         	7.699761e-01
478.4         	7.699761e-01
478.6         	7.699761e-01
478.8         	7.699761e-01
479           	7.698270e-01
479.2         	7.698270e-01
479.4         	7.698270e-01
479.6         	7.698270e-01
479.8         	7.698270e-01
480           	7.696743e-01
480.2         	7.696743e-01
480.4         	7.696743e-01
480.6         	7.696743e-01
480.8         	7.696743e-01
481           	7.695166e-01
481.2         	7.695166e-01
481.4         	7.695166e-01
481.6         	7.695166e-01
481.8         	7.695166e-01
482           	7.693511e-01
482.2         	7.693511e-01
482.4         	7.693511e-01
482.6         	7.693511e-01
482.8         	7.693511e-01
483           	7.691729e-01
483.2         	7.691729e-01
483.4         	7.691729e-01
483.6         	7.691729e-01
483.8         	7.691729e-01
484           	7.689701e-01
484.2         	7.689701e-01
484.4         	7.689701e-01
484.6         	7.689701e-01
484.8         	7.689701e-01
485           	7.687032e-01
485.2         	7.687032e-01
485.4         	7.687032e-01
485.6         	7.687032e-01
485.8         	7.687032e-01
