#    distance           U_x           U_y           U_z
      122.613      0.174354  -0.000946151   4.03875e-05
      123.618      0.172256  -0.000826585   2.19751e-05
      124.623      0.171985  -0.000773746  -1.16441e-05
      125.628      0.173367  -0.000619495   6.30418e-06
      126.633      0.175889    -0.0005309  -1.71708e-05
      127.638      0.179446  -0.000459136   -1.5177e-06
      128.643      0.183471  -0.000533018  -2.91871e-05
      129.648      0.188272  -0.000314767  -2.20469e-05
      130.653      0.193395  -0.000497672   1.76002e-05
      131.658      0.198962  -0.000524181   -3.2411e-05
      132.663       0.20466  -0.000520943   3.86019e-06
      133.668      0.210877  -0.000518768   -7.0235e-07
      134.673      0.217233  -0.000421094  -1.47968e-06
      135.678      0.223625  -0.000293157  -4.44251e-05
      136.683      0.230548  -0.000564729  -2.89887e-05
      137.688      0.237429  -0.000254724    8.1594e-06
      138.693      0.244122  -0.000706603   -2.3711e-05
      139.698      0.251759  -0.000555188   -2.1173e-05
      140.704      0.258909  -0.000800311   -3.9666e-05
      141.709      0.266577  -0.000678287  -1.55019e-05
      142.714      0.274088   -0.00110171   8.49739e-06
      143.719      0.282439  -0.000861677  -1.44976e-05
      144.724      0.290246   -0.00129111  -3.81432e-06
      145.729      0.298851   -0.00128287  -2.38974e-05
      146.734      0.307132   -0.00147677  -7.75466e-06
      147.739       0.31617   -0.00143439  -6.71886e-06
      148.744      0.324633   -0.00151855  -4.82684e-06
      149.749      0.333779   -0.00148549   1.43907e-05
      150.754      0.342121   -0.00209984   2.61924e-05
      151.759      0.351156   -0.00179482   -4.2946e-06
      152.764      0.360885   -0.00181358  -1.61785e-05
      153.769      0.370244   -0.00178321  -2.08911e-05
      154.774      0.379289   -0.00135004  -5.16501e-05
      155.779      0.388662   -0.00163873   2.03495e-06
      156.784      0.398185   -0.00119297  -3.96503e-05
      157.789      0.408358   -0.00105329   4.40731e-06
      158.794      0.418194  -0.000934951   1.58865e-05
      159.799       0.42846  -0.000901348  -4.74206e-06
      160.804      0.438668  -0.000491493  -6.33677e-06
      161.809      0.449418     0.0001459  -1.66348e-05
      162.814      0.460301   0.000668396   -3.7017e-05
      163.819      0.471236   0.000722522  -1.06062e-05
      164.824      0.483104    0.00124768   1.05206e-06
      165.829      0.494065    0.00126206    -1.542e-05
      166.834       0.50603    0.00205899   7.63439e-06
      167.839      0.517126    0.00187924    1.6732e-05
      168.844      0.529809    0.00218231  -3.92078e-06
      169.849      0.541493     0.0022555   6.62195e-06
