# Region type : faceZone InSurface
# Faces  :    590
# Area   :    6.238624e+01
# Time        	areaAverage(surfaceInterpolate(mag(U)))
0             	1.000000e+00
0.2           	1.000000e+00
0.4           	1.000000e+00
0.6           	1.000000e+00
0.8           	1.000000e+00
1             	9.577571e-01
1.2           	9.577571e-01
1.4           	9.577571e-01
1.6           	9.577571e-01
1.8           	9.577571e-01
2             	9.310075e-01
2.2           	9.310075e-01
2.4           	9.310075e-01
2.6           	9.310075e-01
2.8           	9.310075e-01
3             	9.130111e-01
3.2           	9.130111e-01
3.4           	9.130111e-01
3.6           	9.130111e-01
3.8           	9.130111e-01
4             	9.002487e-01
4.2           	9.002487e-01
4.4           	9.002487e-01
4.6           	9.002487e-01
4.8           	9.002487e-01
5             	8.907421e-01
5.2           	8.907421e-01
5.4           	8.907421e-01
5.6           	8.907421e-01
5.8           	8.907421e-01
6             	8.833571e-01
6.2           	8.833571e-01
6.4           	8.833571e-01
6.6           	8.833571e-01
6.8           	8.833571e-01
7             	8.774142e-01
7.2           	8.774142e-01
7.4           	8.774142e-01
7.6           	8.774142e-01
7.8           	8.774142e-01
8             	8.724732e-01
8.2           	8.724732e-01
8.4           	8.724732e-01
8.6           	8.724732e-01
8.8           	8.724732e-01
9             	8.682534e-01
9.2           	8.682534e-01
9.4           	8.682534e-01
9.6           	8.682534e-01
9.8           	8.682534e-01
10            	8.645741e-01
10.2          	8.645741e-01
10.4          	8.645741e-01
10.6          	8.645741e-01
10.8          	8.645741e-01
11            	8.613153e-01
11.2          	8.613153e-01
11.4          	8.613153e-01
11.6          	8.613153e-01
11.8          	8.613153e-01
12            	8.583856e-01
12.2          	8.583856e-01
12.4          	8.583856e-01
12.6          	8.583856e-01
12.8          	8.583856e-01
13            	8.557261e-01
13.2          	8.557261e-01
13.4          	8.557261e-01
13.6          	8.557261e-01
13.8          	8.557261e-01
14            	8.532948e-01
14.2          	8.532948e-01
14.4          	8.532948e-01
14.6          	8.532948e-01
14.8          	8.532948e-01
15            	8.510525e-01
15.2          	8.510525e-01
15.4          	8.510525e-01
15.6          	8.510525e-01
15.8          	8.510525e-01
16            	8.489714e-01
16.2          	8.489714e-01
16.4          	8.489714e-01
16.6          	8.489714e-01
16.8          	8.489714e-01
17            	8.470291e-01
17.2          	8.470291e-01
17.4          	8.470291e-01
17.6          	8.470291e-01
17.8          	8.470291e-01
18            	8.452083e-01
18.2          	8.452083e-01
18.4          	8.452083e-01
18.6          	8.452083e-01
18.8          	8.452083e-01
19            	8.434932e-01
19.2          	8.434932e-01
19.4          	8.434932e-01
19.6          	8.434932e-01
19.8          	8.434932e-01
20            	8.418671e-01
20.2          	8.418671e-01
20.4          	8.418671e-01
20.6          	8.418671e-01
20.8          	8.418671e-01
21            	8.403249e-01
21.2          	8.403249e-01
21.4          	8.403249e-01
21.6          	8.403249e-01
21.8          	8.403249e-01
22            	8.388567e-01
22.2          	8.388567e-01
22.4          	8.388567e-01
22.6          	8.388567e-01
22.8          	8.388567e-01
23            	8.374585e-01
23.2          	8.374585e-01
23.4          	8.374585e-01
23.6          	8.374585e-01
23.8          	8.374585e-01
24            	8.361230e-01
24.2          	8.361230e-01
24.4          	8.361230e-01
24.6          	8.361230e-01
24.8          	8.361230e-01
25            	8.348482e-01
25.2          	8.348482e-01
25.4          	8.348482e-01
25.6          	8.348482e-01
25.8          	8.348482e-01
26            	8.336280e-01
26.2          	8.336280e-01
26.4          	8.336280e-01
26.6          	8.336280e-01
26.8          	8.336280e-01
27            	8.324561e-01
27.2          	8.324561e-01
27.4          	8.324561e-01
27.6          	8.324561e-01
27.8          	8.324561e-01
28            	8.313349e-01
28.2          	8.313349e-01
28.4          	8.313349e-01
28.6          	8.313349e-01
28.8          	8.313349e-01
29            	8.302581e-01
29.2          	8.302581e-01
29.4          	8.302581e-01
29.6          	8.302581e-01
29.8          	8.302581e-01
30            	8.292216e-01
30.2          	8.292216e-01
30.4          	8.292216e-01
30.6          	8.292216e-01
30.8          	8.292216e-01
31            	8.282238e-01
31.2          	8.282238e-01
31.4          	8.282238e-01
31.6          	8.282238e-01
31.8          	8.282238e-01
32            	8.272626e-01
32.2          	8.272626e-01
32.4          	8.272626e-01
32.6          	8.272626e-01
32.8          	8.272626e-01
33            	8.263382e-01
33.2          	8.263382e-01
33.4          	8.263382e-01
33.6          	8.263382e-01
33.8          	8.263382e-01
34            	8.254463e-01
34.2          	8.254463e-01
34.4          	8.254463e-01
34.6          	8.254463e-01
34.8          	8.254463e-01
35            	8.245906e-01
35.2          	8.245906e-01
35.4          	8.245906e-01
35.6          	8.245906e-01
35.8          	8.245906e-01
36            	8.237687e-01
36.2          	8.237687e-01
36.4          	8.237687e-01
36.6          	8.237687e-01
36.8          	8.237687e-01
37            	8.229811e-01
37.2          	8.229811e-01
37.4          	8.229811e-01
37.6          	8.229811e-01
37.8          	8.229811e-01
38            	8.222209e-01
38.2          	8.222209e-01
38.4          	8.222209e-01
38.6          	8.222209e-01
38.8          	8.222209e-01
39            	8.214893e-01
39.2          	8.214893e-01
39.4          	8.214893e-01
39.6          	8.214893e-01
39.8          	8.214893e-01
40            	8.207854e-01
40.2          	8.207854e-01
40.4          	8.207854e-01
40.6          	8.207854e-01
40.8          	8.207854e-01
41            	8.201117e-01
41.2          	8.201117e-01
41.4          	8.201117e-01
41.6          	8.201117e-01
41.8          	8.201117e-01
42            	8.194645e-01
42.2          	8.194645e-01
42.4          	8.194645e-01
42.6          	8.194645e-01
42.8          	8.194645e-01
43            	8.188444e-01
43.2          	8.188444e-01
43.4          	8.188444e-01
43.6          	8.188444e-01
43.8          	8.188444e-01
44            	8.182500e-01
44.2          	8.182500e-01
44.4          	8.182500e-01
44.6          	8.182500e-01
44.8          	8.182500e-01
45            	8.176756e-01
45.2          	8.176756e-01
45.4          	8.176756e-01
45.6          	8.176756e-01
45.8          	8.176756e-01
46            	8.171236e-01
46.2          	8.171236e-01
46.4          	8.171236e-01
46.6          	8.171236e-01
46.8          	8.171236e-01
47            	8.165940e-01
47.2          	8.165940e-01
47.4          	8.165940e-01
47.6          	8.165940e-01
47.8          	8.165940e-01
48            	8.160853e-01
48.2          	8.160853e-01
48.4          	8.160853e-01
48.6          	8.160853e-01
48.8          	8.160853e-01
49            	8.155983e-01
49.2          	8.155983e-01
49.4          	8.155983e-01
49.6          	8.155983e-01
49.8          	8.155983e-01
50            	8.151383e-01
50.2          	8.151383e-01
50.4          	8.151383e-01
50.6          	8.151383e-01
50.8          	8.151383e-01
51            	8.146920e-01
51.2          	8.146920e-01
51.4          	8.146920e-01
51.6          	8.146920e-01
51.8          	8.146920e-01
52            	8.142564e-01
52.2          	8.142564e-01
52.4          	8.142564e-01
52.6          	8.142564e-01
52.8          	8.142564e-01
53            	8.138490e-01
53.2          	8.138490e-01
53.4          	8.138490e-01
53.6          	8.138490e-01
53.8          	8.138490e-01
54            	8.134615e-01
54.2          	8.134615e-01
54.4          	8.134615e-01
54.6          	8.134615e-01
54.8          	8.134615e-01
55            	8.130903e-01
55.2          	8.130903e-01
55.4          	8.130903e-01
55.6          	8.130903e-01
55.8          	8.130903e-01
56            	8.127335e-01
56.2          	8.127335e-01
56.4          	8.127335e-01
56.6          	8.127335e-01
56.8          	8.127335e-01
57            	8.123926e-01
57.2          	8.123926e-01
57.4          	8.123926e-01
57.6          	8.123926e-01
57.8          	8.123926e-01
58            	8.120700e-01
58.2          	8.120700e-01
58.4          	8.120700e-01
58.6          	8.120700e-01
58.8          	8.120700e-01
59            	8.117668e-01
59.2          	8.117668e-01
59.4          	8.117668e-01
59.6          	8.117668e-01
59.8          	8.117668e-01
60            	8.114764e-01
60.2          	8.114764e-01
60.4          	8.114764e-01
60.6          	8.114764e-01
60.8          	8.114764e-01
61            	8.111959e-01
61.2          	8.111959e-01
61.4          	8.111959e-01
61.6          	8.111959e-01
61.8          	8.111959e-01
62            	8.109208e-01
62.2          	8.109208e-01
62.4          	8.109208e-01
62.6          	8.109208e-01
62.8          	8.109208e-01
63            	8.106606e-01
63.2          	8.106606e-01
63.4          	8.106606e-01
63.6          	8.106606e-01
63.8          	8.106606e-01
64            	8.104188e-01
64.2          	8.104188e-01
64.4          	8.104188e-01
64.6          	8.104188e-01
64.8          	8.104188e-01
65            	8.101794e-01
65.2          	8.101794e-01
65.4          	8.101794e-01
65.6          	8.101794e-01
65.8          	8.101794e-01
66            	8.099416e-01
66.2          	8.099416e-01
66.4          	8.099416e-01
66.6          	8.099416e-01
66.8          	8.099416e-01
67            	8.097145e-01
67.2          	8.097145e-01
67.4          	8.097145e-01
67.6          	8.097145e-01
67.8          	8.097145e-01
68            	8.094913e-01
68.2          	8.094913e-01
68.4          	8.094913e-01
68.6          	8.094913e-01
68.8          	8.094913e-01
69            	8.092715e-01
69.2          	8.092715e-01
69.4          	8.092715e-01
69.6          	8.092715e-01
69.8          	8.092715e-01
70            	8.090653e-01
70.2          	8.090653e-01
70.4          	8.090653e-01
70.6          	8.090653e-01
70.8          	8.090653e-01
71            	8.088654e-01
71.2          	8.088654e-01
71.4          	8.088654e-01
71.6          	8.088654e-01
71.8          	8.088654e-01
72            	8.086771e-01
72.2          	8.086771e-01
72.4          	8.086771e-01
72.6          	8.086771e-01
