UMean:0	Points:0
0.74187	6.5189
0.74236	6.5389
0.74286	6.5589
0.74331	6.5789
0.74376	6.5989
0.74422	6.6189
0.74467	6.6389
0.74512	6.6589
0.74557	6.6789
0.74603	6.6989
0.74648	6.7189
0.74688	6.7389
0.74727	6.7589
0.74766	6.7789
0.74806	6.7989
0.74845	6.8189
0.74885	6.8389
0.74924	6.8589
0.74964	6.8789
0.74993	6.8989
0.75023	6.9189
0.75052	6.9389
0.75081	6.9589
0.7511	6.9789
0.7514	6.9989
0.75169	7.0189
0.75198	7.0389
0.75217	7.0589
0.75236	7.0788
0.75254	7.0988
0.75273	7.1188
0.75291	7.1388
0.75309	7.1588
0.75328	7.1788
0.75346	7.1988
0.75358	7.2188
0.75369	7.2388
0.7538	7.2588
0.75391	7.2788
0.75402	7.2988
0.75414	7.3188
0.75425	7.3388
0.75436	7.3588
0.75434	7.3788
0.75432	7.3988
0.7543	7.4188
0.75427	7.4388
0.75425	7.4588
0.75423	7.4788
0.75421	7.4988
0.75418	7.5188
0.75487	7.5388
0.75561	7.5588
0.75635	7.5788
0.75709	7.5988
0.75783	7.6188
0.75857	7.6388
0.75931	7.6588
0.76005	7.6788
0.75995	7.6987
0.75979	7.7187
0.75963	7.7387
0.75947	7.7587
0.75931	7.7787
0.75916	7.7987
0.759	7.8187
0.75884	7.8387
0.75868	7.8587
0.75852	7.8787
0.75836	7.8987
0.7582	7.9187
0.75804	7.9387
0.75788	7.9587
0.75772	7.9787
0.75756	7.9987
0.75746	8.0187
0.75735	8.0387
0.75725	8.0587
0.75714	8.0787
0.75704	8.0987
0.75694	8.1187
0.75683	8.1387
0.75673	8.1587
0.75663	8.1787
0.75652	8.1987
0.75642	8.2187
0.75632	8.2387
0.75621	8.2587
0.75611	8.2787
0.75601	8.2987
0.7559	8.3186
0.75588	8.3386
0.75587	8.3586
0.75585	8.3786
0.75584	8.3986
0.75582	8.4186
0.75581	8.4386
0.75579	8.4586
0.75578	8.4786
0.75576	8.4986
0.75575	8.5186
0.75573	8.5386
0.75572	8.5586
0.7557	8.5786
0.75569	8.5986
0.75567	8.6186
0.75566	8.6386
0.7556	8.6586
0.75553	8.6786
0.75547	8.6986
0.75541	8.7186
0.75534	8.7386
0.75528	8.7586
0.75522	8.7786
0.75515	8.7986
0.75509	8.8186
0.75503	8.8386
0.75496	8.8586
0.7549	8.8786
0.75484	8.8986
0.75477	8.9186
0.75471	8.9385
0.75465	8.9585
0.75458	8.9785
0.7545	8.9985
0.75443	9.0185
0.75436	9.0385
0.75429	9.0585
0.75422	9.0785
0.75415	9.0985
0.75408	9.1185
0.75401	9.1385
0.75394	9.1585
0.75387	9.1785
0.7538	9.1985
0.75372	9.2185
0.75365	9.2385
0.75358	9.2585
0.75351	9.2785
0.75345	9.2985
0.75338	9.3185
0.75331	9.3385
0.75325	9.3585
0.75318	9.3785
0.75312	9.3985
0.75305	9.4185
0.75299	9.4385
0.75292	9.4585
0.75286	9.4785
0.75279	9.4985
0.75272	9.5185
0.75266	9.5384
0.75259	9.5584
0.75253	9.5784
0.75246	9.5984
0.7524	9.6184
0.75233	9.6384
0.75226	9.6584
0.7522	9.6784
0.75213	9.6984
0.75207	9.7184
0.752	9.7384
0.75193	9.7584
0.75187	9.7784
0.7518	9.7984
0.75174	9.8184
0.75167	9.8384
0.75161	9.8584
0.75154	9.8784
0.75147	9.8984
0.75141	9.9184
0.75137	9.9384
0.75134	9.9584
0.75131	9.9784
0.75128	9.9984
0.75125	10.018
0.75122	10.038
0.75119	10.058
0.75116	10.078
0.75112	10.098
0.75109	10.118
0.75106	10.138
0.75103	10.158
0.751	10.178
0.75097	10.198
0.75094	10.218
0.75091	10.238
0.75087	10.258
0.75083	10.278
0.75079	10.298
0.75075	10.318
0.75071	10.338
0.75067	10.358
0.75063	10.378
0.75059	10.398
0.75055	10.418
0.7505	10.438
0.75046	10.458
0.75042	10.478
0.75038	10.498
0.75034	10.518
0.7503	10.538
0.75026	10.558
0.75026	10.578
0.75025	10.598
0.75025	10.618
0.75024	10.638
0.75024	10.658
0.75024	10.678
0.75023	10.698
0.75023	10.718
0.75022	10.738
0.75022	10.758
0.75021	10.778
0.75021	10.798
0.7502	10.818
0.7502	10.838
0.7502	10.858
0.75019	10.878
0.75021	10.898
0.75023	10.918
0.75024	10.938
0.75026	10.958
0.75028	10.978
0.7503	10.998
0.75031	11.018
0.75033	11.038
0.75035	11.058
0.75037	11.078
0.75038	11.098
0.7504	11.118
0.75042	11.138
0.75044	11.158
0.75046	11.178
0.75047	11.198
0.75052	11.218
0.75058	11.238
0.75063	11.258
0.75069	11.278
0.75074	11.298
0.7508	11.318
0.75085	11.338
0.7509	11.358
0.75096	11.378
0.75101	11.398
0.75107	11.418
0.75112	11.438
0.75118	11.458
0.75123	11.478
0.75128	11.498
0.75134	11.518
0.75144	11.538
0.75154	11.558
0.75164	11.578
0.75175	11.598
0.75185	11.618
0.75195	11.638
0.75206	11.658
0.75216	11.678
0.75226	11.698
0.75237	11.718
0.75247	11.738
0.75257	11.758
0.75267	11.778
0.75278	11.798
0.75288	11.818
0.75298	11.838
0.75312	11.858
0.75325	11.878
0.75339	11.898
0.75353	11.918
0.75367	11.938
0.7538	11.958
0.75394	11.978
0.75408	11.998
0.75421	12.018
0.75435	12.038
0.75449	12.058
0.75462	12.078
0.75476	12.098
0.7549	12.118
0.75503	12.138
0.75517	12.158
0.75535	12.178
0.75553	12.198
0.75572	12.218
0.7559	12.238
0.75609	12.258
0.75627	12.278
0.75645	12.298
0.75664	12.318
0.75682	12.338
0.75701	12.358
0.75719	12.378
0.75737	12.398
0.75756	12.418
0.75774	12.438
0.75792	12.458
0.75811	12.478
0.75831	12.498
0.75851	12.518
0.75871	12.538
0.75891	12.558
0.75911	12.578
0.75931	12.598
0.75951	12.618
0.75971	12.638
0.75991	12.658
0.76011	12.678
0.76031	12.698
0.76051	12.718
0.76071	12.738
0.76091	12.758
0.76111	12.778
0.76131	12.798
0.76154	12.818
0.76177	12.838
0.76199	12.858
0.76222	12.878
0.76245	12.898
0.76268	12.918
0.76291	12.938
0.76314	12.958
0.76337	12.978
0.7636	12.998
0.76383	13.018
0.76406	13.038
0.76429	13.058
0.76452	13.078
0.76475	13.098
0.76497	13.118
0.76526	13.138
0.76555	13.158
0.76584	13.178
0.76613	13.198
0.76642	13.218
0.76671	13.238
0.767	13.258
0.76729	13.278
0.76759	13.298
0.76788	13.318
0.76817	13.338
0.76846	13.358
0.76875	13.378
0.76904	13.398
0.76933	13.418
0.76962	13.438
0.76985	13.458
0.77007	13.478
0.7703	13.498
0.77052	13.518
0.77074	13.538
0.77096	13.558
0.77118	13.578
0.77141	13.598
0.77163	13.618
0.77185	13.638
0.77207	13.658
0.77229	13.678
0.77252	13.698
0.77274	13.718
0.77296	13.738
0.77318	13.758
0.7735	13.778
0.77382	13.798
0.77415	13.818
0.77447	13.838
0.77479	13.858
0.77512	13.878
0.77544	13.898
0.77577	13.918
0.77609	13.938
0.77642	13.958
0.77674	13.978
0.77707	13.998
0.77739	14.018
0.77771	14.038
0.77804	14.058
0.77836	14.078
0.77865	14.098
0.77892	14.118
0.7792	14.138
0.77948	14.158
0.77975	14.178
0.78003	14.198
0.78031	14.218
0.78058	14.238
0.78086	14.258
0.78114	14.278
0.78141	14.298
